card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,lore_text,section,mechanics_text
430,Moonfire Adept,mid,🪨  1,🌪️  1,✨  2,📖  2,👁️  2,⚖️  3,♨  1,"Moonfire Adept — Specialists of Eye/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Focus fire; break one piece at a time.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
431,Crystal Thaumaturge,mid,🪨  1,🌪️  2,✨  2,📖  1,👁️  5,⚖️  4,♨  3,"Crystal Thaumaturge — Specialists of Eye/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
432,Void Evoker,mid,🪨  5,🌪️  2,✨  5,📖  1,👁️  2,⚖️  4,♨  5,"Void Evoker — Specialists of Stone/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
433,Oracle of Chains,mid,🪨  2,🌪️  3,✨  2,📖  1,👁️  2,⚖️  3,♨  1,"Oracle of Chains — Specialists of Wind/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
434,Eclipse Visionary,mid,🪨  2,🌪️  4,✨  1,📖  3,👁️  1,⚖️  4,♨  2,"Eclipse Visionary — Specialists of Wind/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
435,Ash Prophetess,mid,🪨  2,🌪️  1,✨  3,📖  2,👁️  2,⚖️  3,♨  1,"Ash Prophetess — Specialists of Veil/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
436,Wraith Caller,mid,🪨  2,🌪️  2,✨  5,📖  2,👁️  1,⚖️  4,♨  3,"Wraith Caller — Specialists of Veil/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
437,Idol Binder,mid,🪨  2,🌪️  1,✨  2,📖  5,👁️  4,⚖️  4,♨  4,"Idol Binder — Specialists of Oath/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
438,Flesh Sculptor,mid,🪨  2,🌪️  1,✨  2,📖  2,👁️  3,⚖️  3,♨  1,"Flesh Sculptor — Specialists of Eye/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
439,Venom Alchemist,mid,🪨  2,🌪️  2,✨  1,📖  4,👁️  5,⚖️  4,♨  4,"Venom Alchemist — Specialists of Eye/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
440,Sporebrewer,mid,🪨  1,🌪️  3,✨  2,📖  4,👁️  1,⚖️  4,♨  2,"Sporebrewer — Specialists of Oath/Wind Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
441,Blood Draught Maker,mid,🪨  4,🌪️  1,✨  2,📖  2,👁️  2,⚖️  4,♨  2,"Blood Draught Maker — Specialists of Stone/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Stone/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
442,Chain Engineer,mid,🪨  5,🌪️  2,✨  1,📖  2,👁️  2,⚖️  4,♨  3,"Chain Engineer — Specialists of Stone/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Stone/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
443,Idol Mechanist,mid,🪨  1,🌪️  1,✨  4,📖  4,👁️  2,⚖️  4,♨  3,"Idol Mechanist — Specialists of Oath/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
444,Crystal Tinker,mid,🪨  2,🌪️  2,✨  2,📖  2,👁️  2,⚖️  3,♨  1,"Crystal Tinker — Specialists of Eye/Oath Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Focus fire; break one piece at a time.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
445,Soul Harvester,mid,🪨  2,🌪️  5,✨  3,📖  1,👁️  2,⚖️  4,♨  3,"Soul Harvester — Specialists of Wind/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Wind/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
446,Shadow Puppeteer,mid,🪨  2,🌪️  5,✨  1,📖  1,👁️  4,⚖️  4,♨  4,"Shadow Puppeteer — Specialists of Wind/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 3
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
447,Blood Soothsayer,mid,🪨  1,🌪️  1,✨  3,📖  5,👁️  2,⚖️  4,♨  3,"Blood Soothsayer — Specialists of Oath/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
448,Ash Sculptor,mid,🪨  2,🌪️  2,✨  3,📖  2,👁️  2,⚖️  4,♨  2,"Ash Sculptor — Specialists of Veil/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Focus fire; break one piece at a time.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
449,Eclipse Binder,mid,🪨  1,🌪️  2,✨  3,📖  2,👁️  2,⚖️  3,♨  1,"Eclipse Binder — Specialists of Veil/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
450,Dream Warden,mid,🪨  2,🌪️  1,✨  3,📖  2,👁️  2,⚖️  3,♨  1,"Dream Warden — Specialists of Veil/Eye Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
451,Crystal Puppeteer,mid,🪨  2,🌪️  3,✨  2,📖  5,👁️  2,⚖️  4,♨  4,"Crystal Puppeteer — Specialists of Oath/Wind Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
452,Flesh Weaver,mid,🪨  2,🌪️  2,✨  4,📖  2,👁️  5,⚖️  4,♨  4,"Flesh Weaver — Specialists of Eye/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
453,Void Scribe,mid,🪨  2,🌪️  1,✨  2,📖  4,👁️  1,⚖️  4,♨  2,"Void Scribe — Specialists of Oath/Stone Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
454,Eclipse Summoner,mid,🪨  2,🌪️  2,✨  3,📖  5,👁️  2,⚖️  4,♨  4,"Eclipse Summoner — Specialists of Oath/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
455,Ash Sorcerer,mid,🪨  2,🌪️  4,✨  2,📖  5,👁️  2,⚖️  4,♨  4,"Ash Sorcerer — Specialists of Oath/Wind Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
456,Ember Seer,mid,🪨  5,🌪️  2,✨  3,📖  1,👁️  2,⚖️  4,♨  3,"Ember Seer — Specialists of Stone/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
457,Smoke Weaver,mid,🪨  2,🌪️  2,✨  3,📖  3,👁️  2,⚖️  4,♨  2,"Smoke Weaver — Specialists of Oath/Veil Duality.
A mid presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.",Specialists,"Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Focus fire; break one piece at a time.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
