card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,rules_text,section,initiative_text,initiative_summary
1,Adamu,rare,3,7,7,3,3,4,11,"Dark-haired, olive-to-bronze skin, modest height, simple reed, wool, or bronze-trimmed garments.",Heroes,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
2,Rook,rare,8,4,7,4,4,4,15,"Lean build, dark hair, ritual scars along arms, simple linen and bronze.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round. Excess damage from this unit carries over to the next target.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
3,Nammu,rare,9,3,9,4,4,4,18,"Tall, water-blue skin, reflective eyes, robes woven with reeds.",Heroes,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions. Excess damage from this unit carries over to the next target.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
4,Ashur,rare,6,4,3,9,4,4,14,"Massive, tar-blackened skin with ember cracks, heavy lantern-club weapon.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Enemies entering adjacent spaces must target this unit if able.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
5,Zaleth,rare,7,3,7,4,3,4,12,"Halo above head, radiant skin, gilded robes.",Heroes,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
6,Irik,rare,3,3,4,7,7,4,12,"Broad, glyph-inscribed stone skin, heavy plate.",Heroes,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Allied units adjacent to this gain +1 to checks this round.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
7,Tammuz,rare,4,7,4,3,7,4,13,"Jewel-inlaid skin, crystalline eyes, ornate robes.",Heroes,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
8,Etana,rare,7,8,4,4,3,4,14,"Tall, scar-carved skin glowing with light, tower shield and scar-etched sword.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
9,Iltu,rare,8,8,3,3,3,4,14,"Translucent skin, shifting colors, dual daggers, cloak shimmering like glass.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Enemies entering adjacent spaces must target this unit if able.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
10,Urid,rare,8,4,3,7,4,4,14,"Lean, reed-marked body, river-braided hair, reed-woven cloak.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
11,Namtar,rare,4,4,3,9,8,4,17,"Glass-thread veins glowing beneath skin, broad, with shard-greatsword.",Heroes,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Enemies entering adjacent spaces must target this unit if able. If played this turn, this unit resolves before other actions.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
