card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,lore_text,section,mechanics_text
1,Adamu,ultra,🪨  10,🌪️  9,✨  9,📖  10,👁️  9,⚖️  9,♨  20,"Adamu — Heroes of Oath/Stone Duality.
Protagonist of the Old Cycle; a mortal made more by trial, unbowed before the heavens.
Carries the burden of creation's first oath; every scar a vow kept.",Heroes,"Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
2,Rook,rare,🪨  8,🌪️  4,✨  7,📖  4,👁️  4,⚖️  4,♨  15,"Rook — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
3,Nammu,rare,🪨  9,🌪️  3,✨  9,📖  4,👁️  4,⚖️  4,♨  18,"Nammu — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 2
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
4,Ashur,rare,🪨  6,🌪️  4,✨  3,📖  9,👁️  4,⚖️  4,♨  14,"Ashur — Heroes of Oath/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
5,Zaleth,rare,🪨  7,🌪️  3,✨  7,📖  4,👁️  3,⚖️  4,♨  12,"Zaleth — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 2
Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
6,Irik,rare,🪨  3,🌪️  3,✨  4,📖  7,👁️  7,⚖️  4,♨  12,"Irik — Heroes of Eye/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
7,Tammuz,rare,🪨  4,🌪️  7,✨  4,📖  3,👁️  7,⚖️  4,♨  13,"Tammuz — Heroes of Eye/Wind Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Wind sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
8,Etana,rare,🪨  7,🌪️  8,✨  4,📖  4,👁️  3,⚖️  4,♨  14,"Etana — Heroes of Wind/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Wind/Stone sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
9,Iltu,rare,🪨  8,🌪️  8,✨  3,📖  3,👁️  3,⚖️  4,♨  14,"Iltu — Heroes of Stone/Wind Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Wind sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
10,Urid,rare,🪨  8,🌪️  4,✨  3,📖  7,👁️  4,⚖️  4,♨  14,"Urid — Heroes of Stone/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Oath sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
11,Namtar,rare,🪨  4,🌪️  4,✨  3,📖  9,👁️  8,⚖️  4,♨  17,"Namtar — Heroes of Oath/Eye Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
12,Zari,rare,🪨  3,🌪️  3,✨  8,📖  7,👁️  4,⚖️  4,♨  13,"Zari — Heroes of Veil/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.",Heroes,"Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 2
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
13,Maskat,rare,🪨  4,🌪️  4,✨  7,📖  4,👁️  6,⚖️  4,♨  12,"Maskat — Heroes of Veil/Eye Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
14,Eresh,rare,🪨  6,🌪️  7,✨  3,📖  3,👁️  3,⚖️  4,♨  10,"Eresh — Heroes of Wind/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Wind/Stone sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
15,Shulgi,rare,🪨  3,🌪️  4,✨  6,📖  4,👁️  7,⚖️  4,♨  12,"Shulgi — Heroes of Eye/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.",Heroes,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
16,Whipbearer,low,🪨  3,🌪️  0,✨  3,📖  0,👁️  0,⚖️  3,♨  1,"Whipbearer — Grunts of Stone/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
17,Spear Watch,low,🪨  0,🌪️  2,✨  2,📖  1,👁️  1,⚖️  2,♨  0,"Spear Watch — Grunts of Veil/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Wind sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
18,Bronze Shield,low,🪨  2,🌪️  1,✨  0,📖  2,👁️  0,⚖️  2,♨  0,"Bronze Shield — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
19,Tax Enforcer,low,🪨  0,🌪️  1,✨  3,📖  1,👁️  1,⚖️  2,♨  0,"Tax Enforcer — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
20,Chain Keeper,low,🪨  1,🌪️  2,✨  0,📖  0,👁️  1,⚖️  1,♨  0,"Chain Keeper — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
21,Pit Houndmaster,low,🪨  1,🌪️  3,✨  2,📖  1,👁️  1,⚖️  3,♨  1,"Pit Houndmaster — Grunts of Wind/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Veil sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
22,Ash Novice,low,🪨  1,🌪️  1,✨  1,📖  2,👁️  0,⚖️  2,♨  0,"Ash Novice — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
23,Blood Acolyte,low,🪨  0,🌪️  3,✨  0,📖  2,👁️  0,⚖️  2,♨  0,"Blood Acolyte — Grunts of Wind/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
24,Chanter Priest,low,🪨  1,🌪️  1,✨  2,📖  1,👁️  1,⚖️  2,♨  0,"Chanter Priest — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.",Grunts,"Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
