lore_text,mechanics_text
"Adamu — HEROES of Flux/Wind.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Wind; duty before fear.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Rook — HEROES of Flux/Stone.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Stone; duty before fear.","Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Nammu — HEROES of Flux/Stone.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Stone; duty before fear.","Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 2
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ashur — HEROES of Flux/Oath.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Oath; duty before fear.","Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Zaleth — HEROES of Flux/Stone.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Stone; duty before fear.","Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 2
Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Irik — HEROES of Flux/Oath.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Oath; duty before fear.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Tammuz — HEROES of Flux/Wind.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Wind; duty before fear.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Etana — HEROES of Flux/Wind.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Wind; duty before fear.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Iltu — HEROES of Flux/Stone.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Stone; duty before fear.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Urid — HEROES of Flux/Stone.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Stone; duty before fear.","Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
