card_id,card_name,card_family,owner_faction,confidence,top_margin,score_BorderstoneGuild,score_FloodbornPact,score_SkyloomTemple,score_UnderwellKeepers,score_Fateforge,legacy_race,race_suggest,race_purity,race_total,token_suggest,token_best_purity,token_evidence,review_outcome,recommended_faction,review_notes
16,"Void Augur, the Hollow Prophet",Boss,BorderstoneGuild,low,0,0,0,0,0,0,Crocavine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
19,"Pharaoh of Chains, the Eternal",Boss,SkyloomTemple,low,0,0,0,0,0,0,Hydran,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
20,"Obsidian Berserker, the Black King",Boss,UnderwellKeepers,low,0,0,0,0,0,0,Sludgine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
24,"Idol Colossus, the Living God",Boss,UnderwellKeepers,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
29,"Crimson Duelmaster, the Blood Regent",Boss,Fateforge,low,1,0,0,0,0,1,Hyenoid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
31,"Chain Warlord, the Iron Tyrant",Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
39,Void Inquisitor King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Rattusk,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
41,Void Exarch King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Hawkind,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
42,Void Devourer King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Raptrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
44,Void Augur King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
46,Siege Idol King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Raptrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
48,Shadow Hulk King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Spidrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
49,Shadow Assassin Lord,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
52,Rune Pontiff King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
54,Rune Khan King,Boss,FloodbornPact,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
56,Rune Captain King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Miteborn,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
59,Pit King Lord,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Jackalite,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
60,Pit Beastmaster King,Boss,FloodbornPact,low,0,0,0,0,0,0,Inkborn,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
64,Obsidian Berserker King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Wyrmling,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
65,Obelisk Warden King,Boss,FloodbornPact,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
66,Obelisk General King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,Fateforge,1.0,general→Fateforge (1.00/3),recommend_reassign:Fateforge,Fateforge,"Strong evidence suggests reassignment, but not applied in this pass to preserve family faction quotas."
70,Masked Warlord King,Boss,Fateforge,low,0,0,0,0,0,0,Inkborn,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
71,Masked Champion Lord,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Crocavine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
74,Ironclad Gladiator King,Boss,FloodbornPact,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
75,Iron Juggernaut King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
76,Idol Colossus,Boss,Fateforge,low,0,0,0,0,0,0,Viperine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
77,Hollow Bishop King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Centipor,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
78,Hollow Beast King,Boss,FloodbornPact,low,0,0,0,0,0,0,Hydran,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
88,Golden Strategist Lord,Boss,SkyloomTemple,low,0,0,0,0,0,0,Inkborn,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
91,Fire Ram King,Boss,UnderwellKeepers,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
95,Eclipse Warlock Lord,Boss,FloodbornPact,low,1,0,1,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
106,Crimson Prophetess Queen,Boss,Fateforge,low,0,0,0,0,0,0,Rattusk,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
107,Crimson Pontiff King,Boss,FloodbornPact,low,0,0,0,0,0,0,Hawkind,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
108,Crimson Khan King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
110,Crimson Duelmaster Lord,Boss,UnderwellKeepers,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
113,Crescent Duelist Lord,Boss,Fateforge,low,0,0,0,0,0,0,Serpentid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
115,Chainfighter King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Rattusk,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
116,Chained Seer King,Boss,FloodbornPact,low,0,0,0,0,0,0,Wyrmling,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
118,Chain Pontiff Lord,Boss,UnderwellKeepers,low,0,0,0,0,0,0,Fungalid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
120,Chain Hierophant Lord,Boss,Fateforge,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
121,Canyon Marauder King Lord,Boss,FloodbornPact,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
122,Canyon Lord King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Canid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
124,Bronze Juggernaut,Boss,UnderwellKeepers,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
126,Bone Raider Lord King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Miteborn,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
127,Bone Gladiator King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
128,Bone Colossus King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Sludgine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
129,Bone Chieftain King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Hydran,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
130,Bone Chariot Lord,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Canid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
133,Blood Oracle Lord,Boss,SkyloomTemple,low,0,0,0,1,0,1,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
135,Blood Matron Queen,Boss,Fateforge,low,1,0,0,0,0,1,Fungalid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
