card_id,card_name,card_family,owner_faction,confidence,top_margin,score_BorderstoneGuild,score_FloodbornPact,score_SkyloomTemple,score_UnderwellKeepers,score_Fateforge,legacy_race,race_suggest,race_purity,race_total,token_suggest,token_best_purity,token_evidence,review_outcome,recommended_faction,review_notes
17,"Sandstorm Khan, the Desert Lord",Boss,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
22,"Masked Champion, the Golden Face",Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
23,"Marsh Leviathan, the Drowned Queen",Boss,FloodbornPact,high,5,4,9,0,0,0,,,,,,,,,,
26,"Glyph Knight, the Rune King",Boss,Fateforge,high,5,0,0,3,0,8,,,,,,,,,,
27,"Eclipse Hierarch, the Night King",Boss,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
28,"Crystal Vanguard, the Shard Emperor",Boss,Fateforge,high,6,0,0,0,0,6,,,,,,,,,,
32,"Bronze Pitlord, the Arena King",Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
34,"Ashen Oracle, the Ember Queen",Boss,Fateforge,high,5,0,0,1,0,6,,,,,,,,,,
35,"Ash Gladiator Lord, the Flame Sovereign",Boss,Fateforge,high,4,2,0,0,0,6,,,,,,,,,,
36,Anu the Exarch of Heaven,Boss,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
37,Void Knight King,Boss,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
43,Void Centurion King,Boss,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
45,Skullcrusher King,Boss,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
47,Shard Brute King,Boss,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
50,Sandstorm Prophet Lord,Boss,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
51,Sandstorm Khan Lord,Boss,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
55,Rune Exarch King,Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
61,Pharaoh of Chains,Boss,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
62,Oil Hydra King,Boss,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
63,Obsidian Lion King,Boss,FloodbornPact,high,5,3,8,0,0,0,,,,,,,,,,
68,Oath Champion Lord,Boss,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
73,Lunar Abomination Lord,Boss,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
80,Halo Seraph Lord,Boss,SkyloomTemple,high,6,0,0,6,0,0,,,,,,,,,,
86,Halo Commander Lord,Boss,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
89,Glyph Knight King,Boss,Fateforge,high,4,0,0,3,0,7,,,,,,,,,,
90,Gleam Sorcerer Lord,Boss,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
94,Eclipse Wraith Lord,Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
96,Eclipse Hierarch,Boss,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
97,Dust Wraith Lord,Boss,UnderwellKeepers,high,8,0,0,0,8,0,,,,,,,,,,
99,Dune Chieftain King,Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
109,Crimson Horror King,Boss,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
111,Crimson Champion Lord,Boss,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
112,Crimson Abomination Lord,Boss,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
117,Chain Warlord King,Boss,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
123,Bronze Pitlord King,Boss,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
125,Bonebreaker Lord,Boss,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
131,Bloodspiller Lord,Boss,Fateforge,high,6,0,0,0,0,6,,,,,,,,,,
136,Blood Hierophant Lord,Boss,FloodbornPact,high,7,0,8,0,0,1,,,,,,,,,,
139,Ashen Oracle Queen,Boss,UnderwellKeepers,high,7,0,0,1,10,3,,,,,,,,,,
140,Ash Titan King,Boss,FloodbornPact,high,5,0,8,0,0,3,,,,,,,,,,
141,Ash Priest King,Boss,UnderwellKeepers,high,7,0,0,0,10,3,,,,,,,,,,
152,Arena Juggernaut King,Boss,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
158,Rune Goliath,Boss,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
161,Oath Titan,Boss,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
162,Hollow Seraph,Boss,Fateforge,high,4,0,0,3,0,7,,,,,,,,,,
166,Glyph Behemoth,Boss,FloodbornPact,high,5,0,8,3,3,0,,,,,,,,,,
167,Dust Wraith King,Boss,UnderwellKeepers,high,13,0,0,0,13,0,,,,,,,,,,
172,Crimson Beast,Boss,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
174,Bone Hydra,Boss,SkyloomTemple,high,6,0,0,7,1,0,,,,,,,,,,
