id,name,type,prompt,negative_prompt,model,width,height,guidance,sd_seed,outputs,filename,gen_id,image_url,thumb_url,drive_url
hero_rook_ennamu,Rook Ennamu,hero,"Rook Ennamu — Covenant hero, versatile fighter; signature: Oathbreak/Keep — shift allegiance for buffs/debuffs. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1301461359,1,hero_rook_ennamu.png,,,,
hero_nammu_eshtar,Nammu Eshtar,hero,"Nammu Eshtar — Tideborn hero, support/controller; signature: Mirror-Road — water portals. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1213291868,1,hero_nammu_eshtar.png,,,,
hero_ashur_kallamu,Ashur Kallamu,hero,"Ashur Kallamu — Pyre hero, bruiser; signature: Tar-Lantern Burst — burning tar pools. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1004031061,1,hero_ashur_kallamu.png,,,,
hero_zaleth_oranu,Zaleth Oranu,hero,"Zaleth Oranu — Solari hero, buffer/support; signature: Procession Halo — radiant shields. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1209464606,1,hero_zaleth_oranu.png,,,,
hero_irik_dammaru,Irik Dammaru,hero,"Irik Dammaru — Dominion hero, tank/zone control; signature: Glyph Wall — glowing barrier. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,979651653,1,hero_irik_dammaru.png,,,,
hero_tammuz_azziru,Tammuz Azziru,hero,"Tammuz Azziru — Solari hero, diplomat/debuffer; signature: Trade Seal — compel surrender. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,553063459,1,hero_tammuz_azziru.png,,,,
hero_etana_kurmesh,Etana Kurmesh,hero,"Etana Kurmesh — Covenant hero, paladin; signature: Living Oath — scars become armor. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,2097807931,1,hero_etana_kurmesh.png,,,,
hero_iltu_varash,Iltu Varash,hero,"Iltu Varash — Myriad hero, assassin/illusionist; signature: Refraction Split — mirror double. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1929437397,1,hero_iltu_varash.png,,,,
hero_urid_marrak,Urid Marrak,hero,"Urid Marrak — Tideborn hero, skirmisher; signature: Reed Skiff Summon — conjure reed craft. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,703599561,1,hero_urid_marrak.png,,,,
hero_namtar_usharu,Namtar Usharu,hero,"Namtar Usharu — Pyre hero, berserker; signature: Glass Breaker — shatter armor for crits. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1568529932,1,hero_namtar_usharu.png,,,,
hero_zari_ellatu,Zari Ellatu,hero,"Zari Ellatu — Tideborn hero, controller; signature: Undertow Psalm — drown enemies. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,2049444055,1,hero_zari_ellatu.png,,,,
hero_maskat_idrannu,Maskat Idrannu,hero,"Maskat Idrannu — Dominion hero, enforcer; signature: Audit Strike — condemn as unlawful. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,1444897850,1,hero_maskat_idrannu.png,,,,
hero_eresh_telammu,Eresh Telammu,hero,"Eresh Telammu — Dominion hero, heavy archetype; signature: Runed Wings — glide/leap, shockwave landings. 3/4 bust, subject centered, clean headroom for circular crop; Mesopotamian blue–gold palette, ornate bronze/lapis accents; painterly concept art, soft rim light, neutral backdrop","text, watermark, logo, extra limbs, lowres, blurry, cropped head, skewed face, bad anatomy, deformed hands",Leonardo Vision XL,1024,1024,9,176646824,1,hero_eresh_telammu.png,,,,
